ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0011,2017-01-22,2017,1,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29,2017-01-22 00:00:00
2017-0012,2017-01-24,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,2017-01-24 00:00:00
2017-0013,2017-01-27,2017,1,27,PEATON,PEATON,MASCULINO,4,2017-01-27 00:00:00
2017-0014,2017-01-28,2017,1,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,2017-01-28 00:00:00
2017-0015,2017-02-02,2017,2,2,PEATON,PEATON,MASCULINO,82,2017-02-21 00:00:00
2017-0016,2017-02-03,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,2017-02-04 00:00:00
2017-0017,2017-02-06,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,2017-02-06 00:00:00
2017-0018,2017-02-09,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,2017-02-09 00:00:00
2017-0021,2017-02-18,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,2017-02-18 00:00:00
2017-0024,2017-02-23,2017,2,23,PEATON,PEATON,MASCULINO,39,2017-02-23 00:00:00
2017-0025,2017-02-24,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,2017-02-24 00:00:00
2017-0026,2017-02-26,2017,2,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,2017-02-26 00:00:00
2017-0026,2017-02-26,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19,2017-02-26 00:00:00
2017-0027,2017-02-26,2017,2,26,PEATON,PEATON,MASCULINO,SD,2017-02-26 00:00:00
2017-0028,2017-02-28,2017,2,28,PEATON,PEATON,MASCULINO,87,2017-02-28 00:00:00
2017-0029,2017-03-07,2017,3,7,SD,SD,MASCULINO,34,2017-03-07 00:00:00
2017-0030,2017-03-07,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,2017-03-07 00:00:00
2017-0031,2017-03-11,2017,3,11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70,2017-03-11 00:00:00
2017-0032,2017-03-12,2017,3,12,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40,2017-03-12 00:00:00
2017-0033,2017-03-12,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28,2017-03-12 00:00:00
2017-0034,2017-03-13,2017,3,13,PEATON,PEATON,MASCULINO,43,2017-03-13 00:00:00
2017-0035,2017-03-23,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28,2017-03-23 00:00:00
2017-0035,2017-03-23,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32,2017-03-23 00:00:00
2017-0035,2017-03-23,2017,3,23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,2017-03-23 00:00:00
2017-0036,2017-03-29,2017,3,29,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,SD,2017-03-29 00:00:00
2017-0036,2017-03-29,2017,3,29,CONDUCTOR,MOTO,MASCULINO,20,2017-03-29 00:00:00
2017-0037,2017-03-31,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41,2017-03-31 00:00:00
2017-0038,2017-04-01,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40,2017-04-01 00:00:00
2017-0040,2017-04-03,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43,2017-04-03 00:00:00
2017-0041,2017-04-03,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17,SD
2017-0042,2017-04-10,2017,4,10,CONDUCTOR,MOTO,MASCULINO,SD,2017-04-10 00:00:00
2017-0045,2017-04-14,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,2017-04-14 00:00:00
2017-0047,2017-04-23,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,2017-04-23 00:00:00
2017-0049,2017-04-27,2017,4,27,PEATON,PEATON,MASCULINO,22,2017-04-27 00:00:00
2017-0050,2017-04-28,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46,2017-04-28 00:00:00
2017-0050,2017-04-28,2017,4,28,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16,2017-04-28 00:00:00
2017-0051,2017-05-01,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33,2017-05-01 00:00:00
2017-0052,2017-05-05,2017,5,5,PEATON,PEATON,FEMENINO,47,2017-05-05 00:00:00
2017-0053,2017-05-05,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,2017-05-05 00:00:00
2017-0054,2017-05-07,2017,5,7,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20,2017-05-07 00:00:00
2017-0055,2017-05-09,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,2017-05-09 00:00:00
2017-0058,2017-05-09,2017,5,9,PEATON,PEATON,MASCULINO,80,2017-05-09 00:00:00
2017-0059,2017-05-11,2017,5,11,PEATON,PEATON,FEMENINO,39,2017-05-11 00:00:00
2017-0060,2017-05-13,2017,5,13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,2017-05-13 00:00:00
2017-0061,2017-05-15,2017,5,15,PEATON,PEATON,MASCULINO,47,2017-05-16 00:00:00
2017-0062,2017-05-15,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,2017-05-15 00:00:00
2017-0063,2017-05-17,2017,5,17,PEATON,PEATON,FEMENINO,79,2017-05-17 00:00:00
2017-0064,2017-05-20,2017,5,20,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61,2017-05-20 00:00:00
2017-0065,2017-05-22,2017,5,22,CICLISTA,BICICLETA,MASCULINO,21,2017-05-22 00:00:00
2017-0066,2017-05-22,2017,5,22,PEATON,PEATON,MASCULINO,10,2017-05-22 00:00:00
2017-0067,2017-05-23,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,2017-05-23 00:00:00
2017-0068,2017-05-27,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,2017-05-27 00:00:00
2017-0069,2017-05-29,2017,5,29,CONDUCTOR,MOTO,MASCULINO,39,2017-05-29 00:00:00
2017-0070,2017-05-30,2017,5,30,PEATON,PEATON,MASCULINO,80,2017-05-31 00:00:00
2017-0072,2017-06-03,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,2017-06-03 00:00:00
2017-0073,2017-06-04,2017,6,4,CONDUCTOR,MOTO,MASCULINO,19,2017-06-04 00:00:00
2017-0074,2017-06-04,2017,6,4,SD,SD,MASCULINO,70,2017-06-04 00:00:00
2017-0075,2017-06-12,2017,6,12,PEATON,PEATON,MASCULINO,55,2017-06-12 00:00:00
2017-0076,2017-06-13,2017,6,13,PEATON,PEATON,FEMENINO,30,2017-06-13 00:00:00
2017-0077,2017-06-17,2017,6,17,CONDUCTOR,MOTO,FEMENINO,60,2017-06-18 00:00:00
2017-0079,2017-06-19,2017,6,19,CONDUCTOR,MOTO,MASCULINO,33,2017-06-19 00:00:00
2017-0080,2017-06-22,2017,6,22,PEATON,PEATON,FEMENINO,95,2017-06-22 00:00:00
2017-0082,2017-06-25,2017,6,25,PEATON,PEATON,MASCULINO,36,2017-06-25 00:00:00
2017-0083,2017-07-04,2017,7,4,CONDUCTOR,MOTO,MASCULINO,37,2017-07-04 00:00:00
2017-0084,2017-07-05,2017,7,5,PEATON,PEATON,FEMENINO,73,2017-07-05 00:00:00
2017-0085,2017-07-07,2017,7,7,PEATON,PEATON,MASCULINO,84,2017-07-07 00:00:00
2017-0086,2017-07-09,2017,7,9,PEATON,PEATON,FEMENINO,30,2017-07-09 00:00:00
2017-0087,2017-07-10,2017,7,10,PEATON,PEATON,FEMENINO,73,2017-07-10 00:00:00
2017-0088,2017-07-10,2017,7,10,PEATON,PEATON,MASCULINO,43,2017-07-10 00:00:00
2017-0089,2017-07-13,2017,7,13,SD,SD,MASCULINO,23,SD
2017-0090,2017-07-15,2017,7,15,PEATON,PEATON,MASCULINO,22,2017-07-15 00:00:00
2017-0091,2017-07-15,2017,7,15,CONDUCTOR,MOTO,MASCULINO,58,2017-07-15 00:00:00
2017-0092,2017-07-24,2017,7,24,PEATON,PEATON,MASCULINO,66,2017-07-24 00:00:00
2017-0093,2017-07-25,2017,7,25,PEATON,PEATON,MASCULINO,SD,2017-07-25 00:00:00
2017-0094,2017-07-27,2017,7,27,CICLISTA,BICICLETA,FEMENINO,56,2017-07-27 00:00:00
2017-0095,2017-08-06,2017,8,6,CONDUCTOR,MOTO,MASCULINO,36,2017-08-06 00:00:00
2017-0096,2017-08-07,2017,8,7,PEATON,PEATON,MASCULINO,87,2017-08-07 00:00:00
2017-0098,2017-08-08,2017,8,8,PEATON,PEATON,FEMENINO,61,2017-08-08 00:00:00
2017-0099,2017-08-17,2017,8,17,CICLISTA,BICICLETA,MASCULINO,28,2017-08-17 00:00:00
2017-0100,2017-08-21,2017,8,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16,2017-08-21 00:00:00
2017-0101,2017-08-23,2017,8,23,PEATON,PEATON,FEMENINO,61,2017-08-23 00:00:00
2017-0102,2017-08-24,2017,8,24,PEATON,PEATON,MASCULINO,46,2017-08-24 00:00:00
2017-0104,2017-08-25,2017,8,25,PEATON,PEATON,FEMENINO,18,2017-08-25 00:00:00
2017-0106,2017-08-31,2017,8,31,PEATON,PEATON,FEMENINO,85,2017-08-31 00:00:00
2017-0107,2017-09-01,2017,9,1,CONDUCTOR,MOTO,MASCULINO,41,2017-09-01 00:00:00
2017-0108,2017-09-02,2017,9,2,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17,2017-09-02 00:00:00
2017-0108,2017-09-02,2017,9,2,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10,2017-09-02 00:00:00
2017-0109,2017-09-04,2017,9,4,CONDUCTOR,MOTO,MASCULINO,21,2017-09-05 00:00:00
2017-0110,2017-09-06,2017,9,6,PEATON,PEATON,MASCULINO,56,2017-09-07 00:00:00
2017-0111,2017-09-07,2017,9,7,PEATON,PEATON,FEMENINO,79,2017-09-07 00:00:00
2017-0112,2017-09-10,2017,9,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1,SD
2017-0112,2017-09-10,2017,9,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,SD,2017-09-13 00:00:00
2017-0113,2017-09-11,2017,9,11,PEATON,PEATON,FEMENINO,76,2017-09-11 00:00:00
2017-0114,2017-09-15,2017,9,15,CONDUCTOR,AUTO,MASCULINO,26,2017-09-15 00:00:00
2017-0115,2017-09-19,2017,9,19,CONDUCTOR,MOTO,MASCULINO,34,SD
2017-0116,2017-09-20,2017,9,20,CONDUCTOR,MOTO,MASCULINO,22,2017-09-20 00:00:00
2017-0118,2017-09-22,2017,9,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26,2017-09-29 00:00:00
2017-0120,2017-10-02,2017,10,2,CONDUCTOR,MOTO,MASCULINO,20,2017-10-02 00:00:00
2017-0123,2017-10-10,2017,10,10,PEATON,PEATON,FEMENINO,36,2017-10-10 00:00:00
2017-0124,2017-10-12,2017,10,12,CONDUCTOR,MOTO,MASCULINO,51,2017-10-12 00:00:00
